codigo_ibge,anomes_s,qtd_familias_beneficiarias_bolsa_familia_s,valor_repassado_bolsa_familia_s,pbf_vlr_medio_benef_f
230660,202503,4721,3133822,664.79
230670,202503,3511,2375372,676.55
230680,202503,1863,1241967,667.01
230690,202503,4441,2894868,654.95
230700,202503,7384,4676618,633.43
230710,202503,5446,3653928,671.06
230720,202503,1239,821234,662.82
230725,202503,4173,2814040,674.67
230730,202503,35435,23856075,673.29
230740,202503,4479,2951132,659.18
230750,202503,5773,3802824,658.84
230760,202503,8709,5640564,647.89
230763,202503,3443,2311556,671.38
230765,202503,34810,22948097,660.09
230770,202503,19611,12783338,652.88
230780,202503,5569,3947155,709.92
230790,202503,2706,1811077,670.27
230800,202503,6934,4581405,660.81
230810,202503,8369,5588500,668.48
230820,202503,2363,1577820,668.28
230830,202503,5307,3506548,660.99
230835,202503,2747,1814686,660.85
230837,202503,3706,2487737,672.0
230840,202503,7846,5358802,683.09
230850,202503,7756,5142100,663.15
230860,202503,4249,2897169,682.01
230870,202503,11610,7515786,648.92
230880,202503,1622,1079477,667.99
230890,202503,3745,2605410,695.89
230900,202503,2325,1563582,672.51
230910,202503,2563,1713812,668.67
230920,202503,3153,2157282,684.42
230930,202503,4602,3118904,677.73
230940,202503,7209,4747668,659.03
230945,202503,4966,3247552,653.96
230950,202503,5225,3375589,646.17
230960,202503,8450,5521357,654.03
230970,202503,11432,7466813,654.58
230980,202503,2354,1568996,666.81
230990,202503,1269,855613,674.24
231000,202503,1923,1245175,647.52
231010,202503,2281,1480229,648.94
231020,202503,7121,4765147,669.17
231025,202503,6948,4661852,672.61
231030,202503,4641,3103793,669.64
231040,202503,2485,1652619,665.04
231050,202503,8322,5468902,657.48
231060,202503,2232,1560008,698.93
231070,202503,6334,4257565,672.71
231080,202503,2383,1614407,678.04
231085,202503,4757,3117801,655.41
231090,202503,2688,1722795,640.92
231095,202503,1403,958454,683.63
231100,202503,2238,1475441,659.27
231110,202503,3113,2090407,671.51
231120,202503,1820,1239810,683.47
231123,202503,1217,789995,649.67
231126,202503,3948,2638635,669.36
231130,202503,17998,11784157,654.86
231135,202503,3067,2017842,658.14
231140,202503,13239,8722232,659.28
231150,202503,2706,1735588,642.1
231160,202503,5310,3583872,674.93
231170,202503,3258,2265077,695.45
231180,202503,9922,6380863,643.75
231190,202503,3018,2026326,671.64
231195,202503,3665,2545097,694.62
231200,202503,6955,4618160,664.01
231210,202503,3719,2528482,680.07
231220,202503,8774,5715735,651.89
231230,202503,7699,5299164,688.65
231240,202503,8965,5924777,662.06
231250,202503,946,600596,634.88
231260,202503,2374,1537407,647.6
231270,202503,4177,2738573,655.95
231280,202503,1455,990346,680.65
231290,202503,23228,15109879,650.84
231300,202503,2537,1664067,656.44
231310,202503,5222,3394150,650.34
231320,202503,4575,3095849,676.84
231325,202503,1482,994006,671.63
231330,202503,8193,5490015,671.48
231335,202503,4338,2949799,679.99
231340,202503,14073,9650615,686.0
231350,202503,14514,9836530,679.08
231355,202503,3898,2637952,676.92
231360,202503,6609,4482412,678.43
231370,202503,1404,912220,650.19
231375,202503,3472,2373410,683.98
231380,202503,5060,3433291,678.78
231390,202503,2630,1756701,669.22
231395,202503,3174,2193420,691.93
231400,202503,7839,5077739,648.17
231410,202503,14291,9633744,674.35
240010,202503,1282,812704,633.93
240020,202503,9623,6193188,644.59
240030,202503,3103,1967610,642.38
240040,202503,516,336309,653.03
240050,202503,2314,1508032,651.7
240060,202503,1005,655129,651.87
240070,202503,2003,1305093,656.82
240080,202503,1783,1145342,643.45
240090,202503,1795,1159167,645.78
240100,202503,7501,4756641,634.56
240110,202503,3569,2265124,634.67
240120,202503,2362,1550021,657.9
240130,202503,2793,1825987,654.01
240140,202503,1269,830821,655.22
240145,202503,5008,3243587,653.42
240150,202503,763,488278,639.94
240160,202503,1087,739173,680.01
240165,202503,624,415857,667.51
240170,202503,1849,1228298,664.66
240180,202503,1928,1299564,674.05
240185,202503,1335,888541,668.08
240190,202503,857,591284,689.95
240200,202503,7643,4901203,642.36
240210,202503,2267,1449725,640.62
240220,202503,5903,3980798,677.7
240230,202503,3767,2438580,647.35
240240,202503,767,499948,652.67
240250,202503,2106,1366544,649.19
240260,202503,11171,7567832,678.43
240270,202503,1614,1103324,683.6
240280,202503,1031,694867,673.97
240290,202503,741,477089,643.84
240300,202503,1215,796004,655.15
240310,202503,4894,3144535,643.19
240320,202503,1071,694641,648.59
240325,202503,23639,15492385,657.54
240330,202503,1079,714108,663.05
240340,202503,1257,833172,663.88
240350,202503,2100,1391060,663.36
240360,202503,10069,6690471,665.92
240370,202503,1350,837018,620.47
240375,202503,561,351740,634.91
240380,202503,1461,962287,659.55
240390,202503,437,278903,638.22
240400,202503,811,523067,644.97
240410,202503,344,221056,644.48
240420,202503,4338,2971295,689.88
240430,202503,2308,1504767,652.83
240440,202503,2127,1390078,653.85
240450,202503,2640,1735300,658.56
240460,202503,2540,1707815,672.63
240470,202503,1910,1222356,639.98
240480,202503,214,144134,673.52
240485,202503,1219,803575,659.75
240490,202503,1260,821137,651.7
240500,202503,1679,1114423,664.14
240510,202503,1257,850871,677.98
240520,202503,1126,726894,646.7
240530,202503,1743,1196689,690.93
240540,202503,1768,1187826,672.23
240550,202503,668,449145,672.37
240560,202503,3093,2053076,663.78
240570,202503,1091,679105,623.6
240580,202503,6569,4504921,686.73
240590,202503,602,387563,644.86
240600,202503,1043,681023,653.57
240610,202503,3226,2022255,630.38
240615,202503,828,552683,667.49
240620,202503,1473,995700,675.97
240630,202503,1806,1208080,668.93
240640,202503,566,380058,671.48
240650,202503,2643,1764329,668.81
240660,202503,3050,2066516,677.77
240670,202503,1529,1011454,663.25
240680,202503,963,640718,667.41
240690,202503,858,550216,643.53
240700,202503,1565,1054989,674.55
240710,202503,14105,9219673,654.11
240720,202503,3494,2295304,659.19
240725,202503,684,457920,671.44
240730,202503,1585,1024213,647.01
240740,202503,1293,841125,651.53
240750,202503,1768,1189617,672.86
240760,202503,1017,679520,668.16
240770,202503,2456,1658434,675.26
240780,202503,3939,2605923,663.76
